Meas Num,Data Quality,Item,Series,Time Stamp,Date,Time (s),Measurement ID,Image,Bubble Detection,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Peak Num,Peak Radius (nm) (I),Peak Diameter (nm) (I),Peak Diffusion Coefficient (cm²/s) (I),Peak Mw-R (kDa) (I),Peak %Pd (I),Peak Pd (nm) (I),Peak Pd Index (I),Peak %Intensity (I),Peak %Mass (I),Peak %Number (I),Peak Particle Concentration (1/mL) (I),
11,,A11 ,,15:28:50,2026-03-20,871,11,View,--,1.60103e+06,8.82404e+06,5,5,0,100,9.96147,24.9655,81.856,100,25,0,A11,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,11,2026-Mar-20 15:12:34,1.89545,0.241436,1.29675e-06,3.7909,1.08192,57.0796,0.570796,15.0304,1.02856,102.422,--,0.0971077,65329.6,0.867677,1.51309,371.099,244.686,0.000360425,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887939,Aqueous,1,1.41717,2.83434,1.73438e-06,7.61161,29.3668,0.416178,0.293668,78.9647,99.9886,100,--,
11,,A11 ,,15:28:50,2026-03-20,871,11,View,--,1.60103e+06,8.82404e+06,5,5,0,100,9.96147,24.9655,81.856,100,25,0,A11,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,11,2026-Mar-20 15:12:34,1.89545,0.241436,1.29675e-06,3.7909,1.08192,57.0796,0.570796,15.0304,1.02856,102.422,--,0.0971077,65329.6,0.867677,1.51309,371.099,244.686,0.000360425,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887939,Aqueous,2,33.1557,66.3114,7.41326e-08,12161.3,5.33523,1.76893,0.0533523,3.84875,0.000300355,5.68789e-09,--,
11,,A11 ,,15:28:50,2026-03-20,871,11,View,--,1.60103e+06,8.82404e+06,5,5,0,100,9.96147,24.9655,81.856,100,25,0,A11,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,11,2026-Mar-20 15:12:34,1.89545,0.241436,1.29675e-06,3.7909,1.08192,57.0796,0.570796,15.0304,1.02856,102.422,--,0.0971077,65329.6,0.867677,1.51309,371.099,244.686,0.000360425,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887939,Aqueous,3,392.033,784.065,6.26968e-09,3.93581e+06,5.81221,22.7858,0.0581221,17.1866,0.0111493,1.23891e-10,--,
12,,A12 ,,15:29:56,2026-03-20,937,12,View,--,1.46215e+06,9.76246e+06,5,5,0,100,9.96147,24.9593,31.9216,22,25,0,A12,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,12,2026-Mar-20 15:12:34,1.51621,0.206805,1.62083e-06,3.03242,0.843309,55.6196,0.556196,8.91494,1.07575,13.842,--,6407.36,78666.5,0.915671,0.991222,1.04354,0.129003,0.00140004,2,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.888066,Aqueous,1,1.01935,2.0387,2.41087e-06,3.52088,3.71137,0.0378318,0.0371137,91.7896,99.9936,100,--,
12,,A12 ,,15:29:56,2026-03-20,937,12,View,--,1.46215e+06,9.76246e+06,5,5,0,100,9.96147,24.9593,31.9216,22,25,0,A12,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,12,2026-Mar-20 15:12:34,1.51621,0.206805,1.62083e-06,3.03242,0.843309,55.6196,0.556196,8.91494,1.07575,13.842,--,6407.36,78666.5,0.915671,0.991222,1.04354,0.129003,0.00140004,2,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.888066,Aqueous,2,11.551,23.1021,2.12753e-07,1031.57,0,0,0,8.21038,0.0063599,4.27473e-06,--,
13,,B1 ,,15:31:32,2026-03-20,1033,13,View,--,930313,4.4419e+06,5,5,0,100,9.96147,24.9814,69.2,68,25,0,B1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,1,2026-Mar-20 15:12:34,38.2668,0.200136,6.4258e-08,76.5335,21.8425,57.0796,0.570796,17008.5,1.14904,3571.29,--,5.25411e-05,3237.3,0.470627,69.5522,301.824,4.33277,0.000594815,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887616,Aqueous,1,0.591947,1.18389,4.154e-06,0.987112,23.2682,0.137735,0.232682,38.2234,99.9542,99.9999,--,
13,,B1 ,,15:31:32,2026-03-20,1033,13,View,--,930313,4.4419e+06,5,5,0,100,9.96147,24.9814,69.2,68,25,0,B1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,1,2026-Mar-20 15:12:34,38.2668,0.200136,6.4258e-08,76.5335,21.8425,57.0796,0.570796,17008.5,1.14904,3571.29,--,5.25411e-05,3237.3,0.470627,69.5522,301.824,4.33277,0.000594815,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887616,Aqueous,2,3.32904,6.65807,7.38636e-07,56.1435,7.57876,0.2523,0.0757876,3.96312,0.0430717,0.000116909,--,
13,,B1 ,,15:31:32,2026-03-20,1033,13,View,--,930313,4.4419e+06,5,5,0,100,9.96147,24.9814,69.2,68,25,0,B1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,1,2026-Mar-20 15:12:34,38.2668,0.200136,6.4258e-08,76.5335,21.8425,57.0796,0.570796,17008.5,1.14904,3571.29,--,5.25411e-05,3237.3,0.470627,69.5522,301.824,4.33277,0.000594815,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887616,Aqueous,3,78.6933,157.387,3.12472e-08,91895.5,9.68637,7.62253,0.0968637,32.3811,0.000328423,5.94015e-11,--,
13,,B1 ,,15:31:32,2026-03-20,1033,13,View,--,930313,4.4419e+06,5,5,0,100,9.96147,24.9814,69.2,68,25,0,B1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,1,2026-Mar-20 15:12:34,38.2668,0.200136,6.4258e-08,76.5335,21.8425,57.0796,0.570796,17008.5,1.14904,3571.29,--,5.25411e-05,3237.3,0.470627,69.5522,301.824,4.33277,0.000594815,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887616,Aqueous,4,306.127,612.254,8.03244e-09,2.20643e+06,9.583,29.3361,0.09583,25.4324,0.00244631,8.55539e-12,--,
14,,B2 ,,15:33:45,2026-03-20,1166,14,View,--,924034,4.01497e+06,5,5,0,100,9.96147,24.9997,57.3801,54,25,0,B2,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,2,2026-Mar-20 15:12:34,6.25128,0.156425,3.93541e-07,12.5026,3.5682,57.0796,0.570796,245.237,1.07569,3327.69,--,0.00101384,19826.5,0.474451,90.9501,924.159,10.156,0.000452827,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887242,Aqueous,1,0.61375,1.2275,4.00836e-06,1.07429,25.8199,0.15847,0.258199,40.3475,99.9849,100,--,
14,,B2 ,,15:33:45,2026-03-20,1166,14,View,--,924034,4.01497e+06,5,5,0,100,9.96147,24.9997,57.3801,54,25,0,B2,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,2,2026-Mar-20 15:12:34,6.25128,0.156425,3.93541e-07,12.5026,3.5682,57.0796,0.570796,245.237,1.07569,3327.69,--,0.00101384,19826.5,0.474451,90.9501,924.159,10.156,0.000452827,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887242,Aqueous,2,6.71561,13.4312,3.66331e-07,289.997,5.69094,0.382182,0.0569094,4.29022,0.00516946,1.14663e-06,--,
14,,B2 ,,15:33:45,2026-03-20,1166,14,View,--,924034,4.01497e+06,5,5,0,100,9.96147,24.9997,57.3801,54,25,0,B2,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,2,2026-Mar-20 15:12:34,6.25128,0.156425,3.93541e-07,12.5026,3.5682,57.0796,0.570796,245.237,1.07569,3327.69,--,0.00101384,19826.5,0.474451,90.9501,924.159,10.156,0.000452827,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887242,Aqueous,3,103.591,207.182,2.37485e-08,174836,7.17199,7.42955,0.0717199,38.7558,0.00640356,3.22876e-10,--,
14,,B2 ,,15:33:45,2026-03-20,1166,14,View,--,924034,4.01497e+06,5,5,0,100,9.96147,24.9997,57.3801,54,25,0,B2,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,2,2026-Mar-20 15:12:34,6.25128,0.156425,3.93541e-07,12.5026,3.5682,57.0796,0.570796,245.237,1.07569,3327.69,--,0.00101384,19826.5,0.474451,90.9501,924.159,10.156,0.000452827,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887242,Aqueous,4,981.89,1963.78,2.50551e-09,3.37293e+07,6.04033,59.3093,0.0604033,16.6065,0.00348696,2.3608e-13,--,
15,,B3 ,,15:36:22,2026-03-20,1323,15,View,--,983663,4.97795e+06,5,5,0,100,9.96147,25.0135,80.04,99,25,0,B3,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,3,2026-Mar-20 15:12:34,1.34325,0.207806,1.83215e-06,2.68649,0.76672,57.0796,0.570796,6.71486,1.05249,47.1698,--,0.0897078,92302.9,0.980966,1.10441,153.577,138.17,0.000953226,3,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886962,Aqueous,1,1.12902,2.25803,2.1798e-06,4.47183,7.41639,0.0837322,0.0741639,86.2604,99.9987,100,--,
15,,B3 ,,15:36:22,2026-03-20,1323,15,View,--,983663,4.97795e+06,5,5,0,100,9.96147,25.0135,80.04,99,25,0,B3,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,3,2026-Mar-20 15:12:34,1.34325,0.207806,1.83215e-06,2.68649,0.76672,57.0796,0.570796,6.71486,1.05249,47.1698,--,0.0897078,92302.9,0.980966,1.10441,153.577,138.17,0.000953226,3,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886962,Aqueous,2,163.312,326.623,1.50695e-08,507220,2.03503,3.32344,0.0203503,13.7396,0.0012773,3.822e-10,--,
16,,B4 ,,15:37:50,2026-03-20,1411,16,View,--,1.05743e+06,5.28714e+06,5,5,0,100,9.96147,25.0179,0,20,25,0,B4,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,4,2026-Mar-20 15:12:34,1.2875,0.106796,1.9117e-06,2.575,0.7349,57.0796,0.570796,6.08087,1.01914,33.1168,--,0.333118,96310.5,0.58627,1.00141,548.494,547.137,0.000189424,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886872,Aqueous,1,0.94921,1.89842,2.59301e-06,2.97996,30.3305,0.2879,0.303305,78.9284,99.9957,100,--,
16,,B4 ,,15:37:50,2026-03-20,1411,16,View,--,1.05743e+06,5.28714e+06,5,5,0,100,9.96147,25.0179,0,20,25,0,B4,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,4,2026-Mar-20 15:12:34,1.2875,0.106796,1.9117e-06,2.575,0.7349,57.0796,0.570796,6.08087,1.01914,33.1168,--,0.333118,96310.5,0.58627,1.00141,548.494,547.137,0.000189424,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886872,Aqueous,2,44.0935,88.187,5.58203e-08,23696.6,8.9375,3.94086,0.089375,2.19741,2.96728e-05,7.40923e-11,--,
16,,B4 ,,15:37:50,2026-03-20,1411,16,View,--,1.05743e+06,5.28714e+06,5,5,0,100,9.96147,25.0179,0,20,25,0,B4,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,4,2026-Mar-20 15:12:34,1.2875,0.106796,1.9117e-06,2.575,0.7349,57.0796,0.570796,6.08087,1.01914,33.1168,--,0.333118,96310.5,0.58627,1.00141,548.494,547.137,0.000189424,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886872,Aqueous,3,586.202,1172.4,4.19875e-09,1.00892e+07,16.0845,94.2878,0.160845,18.8742,0.00422734,4.67444e-12,--,
17,,B5 ,,15:38:55,2026-03-20,1476,17,View,--,793922,3.29428e+06,5,5,0,100,9.96147,25.0136,3.6,25,25,0,B5,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,5,2026-Mar-20 15:12:34,43.8949,0.0817535,5.60665e-08,87.7898,25.0551,57.0796,0.570796,23447.7,1.06977,985.068,--,0.000590862,2824.61,0.652481,729.745,837.628,1.14694,0.000774151,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886958,Aqueous,1,0.742912,1.48582,3.31269e-06,1.67957,13.792,0.102462,0.13792,35.0822,99.9719,100,--,
17,,B5 ,,15:38:55,2026-03-20,1476,17,View,--,793922,3.29428e+06,5,5,0,100,9.96147,25.0136,3.6,25,25,0,B5,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,5,2026-Mar-20 15:12:34,43.8949,0.0817535,5.60665e-08,87.7898,25.0551,57.0796,0.570796,23447.7,1.06977,985.068,--,0.000590862,2824.61,0.652481,729.745,837.628,1.14694,0.000774151,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886958,Aqueous,2,48.7409,97.4818,5.04922e-08,29957.9,1.45298,0.708195,0.0145298,7.00286,0.000140901,3.66742e-10,--,
17,,B5 ,,15:38:55,2026-03-20,1476,17,View,--,793922,3.29428e+06,5,5,0,100,9.96147,25.0136,3.6,25,25,0,B5,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,5,2026-Mar-20 15:12:34,43.8949,0.0817535,5.60665e-08,87.7898,25.0551,57.0796,0.570796,23447.7,1.06977,985.068,--,0.000590862,2824.61,0.652481,729.745,837.628,1.14694,0.000774151,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.886958,Aqueous,3,816.586,1633.17,3.01381e-09,2.1912e+07,5.55953,45.3984,0.0555953,57.9149,0.0279556,1.58127e-11,--,
18,,B6 ,,15:40:07,2026-03-20,1548,18,View,--,915239,4.35828e+06,5,5,0,100,9.96147,25.006,30,30,25,0,B6,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,6,2026-Mar-20 15:12:34,2.41849,0.0761465,1.01739e-06,4.83697,1.38046,57.0796,0.570796,26.5824,1.13226,792.982,--,2.33609e-05,51255.8,0.828698,0.946299,164.54,173.001,0.00127523,3,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887113,Aqueous,1,0.908533,1.81707,2.70826e-06,2.6897,5.33789,0.0484965,0.0533789,55.3036,99.9957,100,--,
18,,B6 ,,15:40:07,2026-03-20,1548,18,View,--,915239,4.35828e+06,5,5,0,100,9.96147,25.006,30,30,25,0,B6,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,6,2026-Mar-20 15:12:34,2.41849,0.0761465,1.01739e-06,4.83697,1.38046,57.0796,0.570796,26.5824,1.13226,792.982,--,2.33609e-05,51255.8,0.828698,0.946299,164.54,173.001,0.00127523,3,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887113,Aqueous,2,166.003,332.006,1.48223e-08,526994,3.60146,5.97852,0.0360146,44.6964,0.00427333,6.45824e-10,--,
19,,B7 ,,15:41:11,2026-03-20,1612,19,View,--,990609,6.82238e+06,5,5,0,100,9.96147,24.9904,51.6,30,25,0,B7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,7,2026-Mar-20 15:12:34,426.819,0.0402261,5.76247e-09,853.638,243.627,57.0796,0.570796,4.80201e+06,1.02012,95.4367,--,3.63448e-07,290.311,0.360546,362.107,554.231,1.52958,0.000599252,4,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887432,Aqueous,1,0.533778,1.06756,4.60778e-06,0.774921,37.1041,0.198053,0.371041,40.3745,99.9949,100,--,
19,,B7 ,,15:41:11,2026-03-20,1612,19,View,--,990609,6.82238e+06,5,5,0,100,9.96147,24.9904,51.6,30,25,0,B7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,7,2026-Mar-20 15:12:34,426.819,0.0402261,5.76247e-09,853.638,243.627,57.0796,0.570796,4.80201e+06,1.02012,95.4367,--,3.63448e-07,290.311,0.360546,362.107,554.231,1.52958,0.000599252,4,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887432,Aqueous,2,5.53787,11.0757,4.44129e-07,184.694,8.74059,0.484043,0.0874059,2.10518,0.00202754,2.87825e-07,--,
19,,B7 ,,15:41:11,2026-03-20,1612,19,View,--,990609,6.82238e+06,5,5,0,100,9.96147,24.9904,51.6,30,25,0,B7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,7,2026-Mar-20 15:12:34,426.819,0.0402261,5.76247e-09,853.638,243.627,57.0796,0.570796,4.80201e+06,1.02012,95.4367,--,3.63448e-07,290.311,0.360546,362.107,554.231,1.52958,0.000599252,4,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887432,Aqueous,3,481.39,962.779,5.10923e-09,6.36333e+06,19.5771,94.2421,0.195771,57.5203,0.00311082,7.15362e-13,--,
20,,B8 ,,15:42:39,2026-03-20,1700,20,View,--,944914,3.40878e+06,5,5,0,100,9.96147,24.9814,67,84,25,0,B8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,8,2026-Mar-20 15:12:34,797.522,0.110867,3.08323e-09,1595.04,455.223,57.0796,0.570796,2.07337e+07,1.07136,232.195,--,1.55441e-06,155.332,0.501606,689.797,773.03,1.11994,0.00177279,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887616,Aqueous,1,0.527197,1.05439,4.66419e-06,0.752749,8.16987,0.0430713,0.0816987,21.326,99.9776,100,--,
20,,B8 ,,15:42:39,2026-03-20,1700,20,View,--,944914,3.40878e+06,5,5,0,100,9.96147,24.9814,67,84,25,0,B8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,8,2026-Mar-20 15:12:34,797.522,0.110867,3.08323e-09,1595.04,455.223,57.0796,0.570796,2.07337e+07,1.07136,232.195,--,1.55441e-06,155.332,0.501606,689.797,773.03,1.11994,0.00177279,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887616,Aqueous,2,29.7261,59.4522,8.27202e-08,9419.46,3.17104,0.942626,0.0317104,7.23704,0.000244192,1.25045e-09,--,
20,,B8 ,,15:42:39,2026-03-20,1700,20,View,--,944914,3.40878e+06,5,5,0,100,9.96147,24.9814,67,84,25,0,B8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,8,2026-Mar-20 15:12:34,797.522,0.110867,3.08323e-09,1595.04,455.223,57.0796,0.570796,2.07337e+07,1.07136,232.195,--,1.55441e-06,155.332,0.501606,689.797,773.03,1.11994,0.00177279,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887616,Aqueous,3,744.499,1489,3.30282e-09,1.76509e+07,5.88027,43.7786,0.0588027,71.437,0.0221084,7.20741e-12,--,
21,,B9 ,,15:44:17,2026-03-20,1798,21,View,--,1.7075e+06,1.76913e+07,5,5,0,100,9.96147,24.9903,35.656,15,25,0,B9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,9,2026-Mar-20 15:12:34,6.0636,0.266154,4.05621e-07,12.1272,2.55657,42.1626,0.421626,228.356,1.00524,0.897167,--,11046.1,14065.2,3.42777,5.94332,10.3728,1.16854,0.000163688,6,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887434,Aqueous,1,6.44471,12.8894,3.81635e-07,263.362,38.323,2.4698,0.38323,96.1023,99.9152,100,--,
21,,B9 ,,15:44:17,2026-03-20,1798,21,View,--,1.7075e+06,1.76913e+07,5,5,0,100,9.96147,24.9903,35.656,15,25,0,B9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,9,2026-Mar-20 15:12:34,6.0636,0.266154,4.05621e-07,12.1272,2.55657,42.1626,0.421626,228.356,1.00524,0.897167,--,11046.1,14065.2,3.42777,5.94332,10.3728,1.16854,0.000163688,6,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887434,Aqueous,2,37.2262,74.4523,6.60698e-08,15945.9,11.0579,4.11644,0.110579,2.39463,0.00890076,8.08612e-06,--,
21,,B9 ,,15:44:17,2026-03-20,1798,21,View,--,1.7075e+06,1.76913e+07,5,5,0,100,9.96147,24.9903,35.656,15,25,0,B9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,9,2026-Mar-20 15:12:34,6.0636,0.266154,4.05621e-07,12.1272,2.55657,42.1626,0.421626,228.356,1.00524,0.897167,--,11046.1,14065.2,3.42777,5.94332,10.3728,1.16854,0.000163688,6,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887434,Aqueous,3,745.231,1490.46,3.30035e-09,1.76915e+07,9.50906,70.8645,0.0950906,1.5031,0.075881,7.54946e-09,--,
22,,B10 ,,15:45:41,2026-03-20,1882,22,View,--,995620,2.20543e+07,5,5,0,100,9.96147,24.9956,54.856,10,25,0,B10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,10,2026-Mar-20 15:12:34,7.89634,0.370553,3.1152e-07,15.7927,4.5072,57.0796,0.570796,423.619,1.21903,1219.33,--,0.000527819,15694.3,2.85417,3.89292,501.303,128.04,0.000746941,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887325,Aqueous,1,3.39876,6.79752,7.23755e-07,58.9335,12.6562,0.430155,0.126562,54.8554,97.7927,99.9401,--,
22,,B10 ,,15:45:41,2026-03-20,1882,22,View,--,995620,2.20543e+07,5,5,0,100,9.96147,24.9956,54.856,10,25,0,B10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,10,2026-Mar-20 15:12:34,7.89634,0.370553,3.1152e-07,15.7927,4.5072,57.0796,0.570796,423.619,1.21903,1219.33,--,0.000527819,15694.3,2.85417,3.89292,501.303,128.04,0.000746941,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887325,Aqueous,2,10.413,20.8261,2.3623e-07,809.292,8.53966,0.889237,0.0853966,31.1869,1.89589,0.0599464,--,
22,,B10 ,,15:45:41,2026-03-20,1882,22,View,--,995620,2.20543e+07,5,5,0,100,9.96147,24.9956,54.856,10,25,0,B10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,10,2026-Mar-20 15:12:34,7.89634,0.370553,3.1152e-07,15.7927,4.5072,57.0796,0.570796,423.619,1.21903,1219.33,--,0.000527819,15694.3,2.85417,3.89292,501.303,128.04,0.000746941,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887325,Aqueous,3,539.664,1079.33,4.55815e-09,8.31383e+06,5.47406,29.5415,0.0547406,13.9578,0.311411,6.36504e-08,--,
23,,B11 ,,15:46:47,2026-03-20,1948,23,View,--,802743,7.61142e+06,5,5,0,100,9.96147,24.9945,56.056,24,25,0,B11,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",2,11,2026-Mar-20 15:12:34,1.20392,0.270136,2.04317e-06,2.40783,0.687191,57.0796,0.570796,5.19705,1.09643,565.704,--,2.87518e-05,102934,0.632144,0.767695,923.414,1202.02,0.000440731,5,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887347,Aqueous,1,0.726,1.452,3.38815e-06,1.59147,8.86193,0.0643376,0.0886193,58.9258,97.489,99.7866,--,
